epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5699,2.59195,8.21639,5.48909,4.26637,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0,0,0
2,26.7059,3.17205,8.14273,5.6601,4.25211,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.000412542,0.000412542,0.000412542
3,38.5054,2.72749,5.97281,6.1289,4.17782,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.000816833,0.000816833,0.000816833
4,49.7533,2.77579,7.96414,5.96697,4.22479,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.00121287,0.00121287,0.00121287
5,60.7399,2.90932,6.39197,6.37981,4.18858,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.0012005,0.0012005,0.0012005
6,71.8304,2.43423,5.72741,5.78175,4.17119,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.00118812,0.00118812,0.00118812
7,82.7712,3.04084,9.04886,5.7444,4.22946,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.00117575,0.00117575,0.00117575
8,93.6497,2.85502,5.97215,5.21998,4.16465,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.00116337,0.00116337,0.00116337
9,104.576,2.92149,10.9017,6.08957,4.29528,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.001151,0.001151,0.001151
10,115.175,3.13628,8.07498,5.40011,4.28229,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.00113863,0.00113863,0.00113863
11,126.271,2.60609,8.95929,5.37819,4.30049,0,0,0,0,0,0,0,0,0,2.30889,5.15898,5.59183,4.15853,0,0.00112625,0.00112625,0.00112625
12,137.098,3.07108,7.35302,5.98527,4.25917,0,0,0,0,0,0,0,0,0,2.2936,5.15402,5.5901,4.14998,0,0.00111388,0.00111388,0.00111388
13,147.761,2.60084,6.56141,5.84916,4.16436,0,0,0,0,0,0,0,0,0,2.2936,5.15402,5.5901,4.14998,0,0.0011015,0.0011015,0.0011015
